t;Y;C;G;J;Ex;Im;Yr;Cr;Gr;Jr;Exr;Imr;Yp;Cp;Gp;Jp;Exp;Imp
2012q03;17230.54151;8827.513685;3097.872761;4222.506486;4576.881286;3494.232709;15652.50445;8193.051019;2700.352905;3270.364913;4243.24662;3301.263137;1.100816905;1.077439121;1.147210335;1.084202459;1.078627215;1.058453254
2012q04;17559.70949;9135.330223;3172.864673;4203.414447;4575.493746;3527.393599;15621.58103;8341.391655;2694.490174;3264.696889;4324.847653;3364.907194;1.124067369;1.095180589;1.177538038;1.101343185;1.057954895;1.048288525
2013q01;17626.37263;9219.896486;3263.908633;4283.902566;4497.289889;3638.624944;15701.93165;8333.053857;2732.385737;3346.078683;4348.965162;3391.266864;1.122560779;1.106424685;1.194527035;1.12732523;1.034105752;1.072939727
2013q02;17930.26296;9556.59454;3339.624682;4139.25981;4578.479989;3683.696056;15814.0182;8503.182155;2722.11453;3294.479662;4409.267096;3271.724718;1.133820812;1.12388449;1.226849438;1.139008804;1.038376648;1.125918705
2013q03;18517.57313;9868.757529;3439.60041;4053.083736;4938.003959;3781.872504;15907.10114;8674.805161;2722.799063;3255.295854;4564.223124;3439.455976;1.164107336;1.137634488;1.263258996;1.157463246;1.081893638;1.099555433
2013q04;18856.54909;10002.09638;3511.693726;4256.571283;4816.072533;3729.884831;16007.39345;8669.097274;2718.653794;3276.81773;4533.709248;3341.44753;1.17798998;1.153764465;1.291703171;1.175748166;1.062280854;1.116248212
2014q01;19242.47906;10104.18541;3472.813832;4611.656624;4773.373217;3719.550019;15927.53848;8761.079976;2683.270307;3174.008022;4434.251172;3379.169443;1.208126358;1.153303638;1.294246734;1.17218633;1.076477861;1.100729064
2014q02;19869.16393;10456.42229;3534.449662;4627.643702;5559.493884;4308.845604;16119.54042;8864.445749;2671.700882;3291.110765;4502.108803;3391.371171;1.232613549;1.17959121;1.322921172;1.217309773;1.2348644;1.270532002
2014q03;19731.42033;10716.15094;3574.937126;4040.465153;5371.49602;3971.62891;15935.27067;8659.198973;2660.764248;3295.297721;4606.992735;3052.916155;1.238223105;1.237545295;1.343575301;1.238153122;1.165944105;1.300929573
2014q04;20066.48197;10920.43863;3621.10335;4118.6702;5677.473381;4271.203596;15919.11648;8569.968845;2648.884865;3203.031338;4421.034602;2827.517356;1.260527366;1.274268184;1.367029348;1.289406313;1.284195645;1.510584395
2015q01;20546.28311;10818.48804;3559.178028;4236.155737;6273.123507;4340.662205;15625.04315;8086.58805;2601.94376;3086.270042;4652.877008;2492.671658;1.314958487;1.337830983;1.36789199;1.354397292;1.348224657;1.741369422
2015q02;20627.03418;11000.06326;3612.530732;4218.199266;5848.975527;4052.734607;15570.35265;8001.61194;2590.59101;2950.443883;4579.877891;2365.748294;1.324763456;1.374730909;1.394481305;1.384491649;1.277102942;1.713087828
2015q03;20879.83603;10853.6589;3662.235832;4820.365096;5979.859303;4436.283104;15510.58982;7797.552501;2578.62522;2862.546776;4564.082817;2273.308253;1.346166476;1.391931494;1.420228036;1.431761008;1.310199561;1.95146571
2015q04;20905.73943;10831.619;3706.317305;4871.357853;5732.535678;4236.090413;15404.49223;7601.614938;2567.382227;2863.847729;4821.563668;2222.90006;1.357119671;1.424910245;1.443617263;1.44840275;1.188937049;1.905659408
2016q01;20820.03438;11050.30825;3858.006259;4950.137993;5232.092402;4270.510524;15557.60011;7743.210342;2590.412383;2872.697327;4637.034556;2298.772342;1.338254887;1.427096483;1.489340571;1.452194419;1.12832724;1.857735299
2016q02;21221.1978;10941.01881;3879.634314;5406.123025;5635.214284;4640.792635;15494.85225;7531.488862;2578.429555;2907.84687;4803.105805;2255.825076;1.369564385;1.452703311;1.504650111;1.490894662;1.173243837;2.057248447
2016q03;21596.90671;11148.69929;3910.500923;5345.164208;5668.642168;4476.099874;15456.26351;7424.35284;2566.519468;2840.318798;4756.768784;2190.137384;1.39729157;1.501639204;1.52365917;1.529896894;1.19170017;2.043753012
2016q04;22038.08254;11075.17472;3899.37099;5755.652786;5564.412133;4256.528086;15450.77829;7358.239734;2555.191242;2857.390134;4999.684264;2231.270022;1.426341258;1.505139153;1.526058373;1.535442893;1.112952706;1.907670539
2017q01;22230.83821;11716.44732;4050.197007;5103.729661;5521.861905;4161.39768;15633.6289;7950.142964;2601.757941;2939.002414;4964.97857;2677.895231;1.421988353;1.473740456;1.556715536;1.475176734;1.112162284;1.553980765
